Device Name,K2_2498465,,,
Device Model,Kestrel DROP 2,,,
Serial Number,2498465,,,
FORMATTED DATE-TIME,Temperature,Relative Humidity,Heat Stress Index,Dew Point
YYYY-MM-DD HH:MM:SS,°C,%,°C,°C
6/26/20 10:10,17.8,73.2,17.3,13
6/26/20 10:20,17.5,77.4,17.2,13.5
6/26/20 10:30,17.6,80.3,17.3,14.2
6/26/20 10:40,17.8,83.7,17.8,15
6/26/20 10:50,18.1,85.4,18,15.6
6/26/20 11:00,18,85.9,18,15.6
6/26/20 11:10,17.9,87,17.9,15.7
6/26/20 11:20,18.1,87.2,18.1,15.9
6/26/20 11:30,17.8,86.8,17.9,15.6
6/26/20 11:40,17.7,87.5,17.8,15.6
6/26/20 11:50,17.8,87.4,17.9,15.7
6/26/20 12:00,18.3,88.6,18.6,16.4
6/26/20 12:10,18.3,88.8,18.4,16.4
6/26/20 12:20,18.4,89.2,18.6,16.5
6/26/20 12:30,18.4,89.3,18.7,16.6
6/26/20 12:40,18.5,89.6,18.8,16.8
6/26/20 12:50,19,90.2,19.4,17.3
6/26/20 13:00,18.8,88.9,19,16.9
6/26/20 13:10,19.1,88.8,19.5,17.2
6/26/20 13:20,19.6,88.7,20.1,17.7
6/26/20 13:30,19.7,86.2,19.9,17.3
6/26/20 13:40,19.6,81.9,19.8,16.5
6/26/20 13:50,20,82.3,20.3,16.9
6/26/20 14:00,20,77.2,20,15.9
