Device Name,K3_2498468,,,
Device Model,Kestrel DROP 2,,,
Serial Number,2498468,,,
FORMATTED DATE-TIME,Temperature,Relative Humidity,Heat Stress Index,Dew Point
YYYY-MM-DD HH:MM:SS,°C,%,°C,°C
6/25/20 9:30,17.8,84,17.8,15.1
6/25/20 9:40,17.6,87.2,17.7,15.5
6/25/20 9:50,18.2,90,18.4,16.5
6/25/20 10:00,18.4,88.3,18.6,16.4
6/25/20 10:10,18.7,92.9,19.2,17.5
6/25/20 10:20,19.3,95.5,20,18.6
6/25/20 10:30,19.2,94.8,19.8,18.3
6/25/20 10:40,19.9,97.4,20.8,19.5
6/25/20 10:50,19.8,96.2,20.5,19.1
6/25/20 11:00,19.7,96.1,20.4,19
6/25/20 11:10,20.4,98.3,21.3,20.1
6/25/20 11:20,21.3,64.8,21.4,14.4
6/25/20 11:30,22.2,84.8,23.1,19.5
6/25/20 11:40,20.8,84.6,21.4,18.2
6/25/20 11:50,21.6,88.5,22.4,19.6
6/25/20 12:00,20.7,86.4,21.3,18.3
6/25/20 12:10,21.5,89.5,22.4,19.7
6/25/20 12:20,20.8,87.6,21.4,18.6
6/25/20 12:30,20.4,88.2,21,18.4
6/25/20 12:40,19.6,87.4,20,17.5
6/25/20 12:50,19.7,88.3,20.1,17.7
6/25/20 13:00,20.6,89.5,21.3,18.8
