Device Name,K4_2498476,,,
Device Model,Kestrel DROP 2,,,
Serial Number,2498476,,,
FORMATTED DATE-TIME,Temperature,Relative Humidity,Heat Stress Index,Dew Point
YYYY-MM-DD HH:MM:SS,°C,%,°C,°C
6/10/20 9:20,21,98.6,22,20.8
6/10/20 9:30,21,92.1,21.8,19.6
6/10/20 9:40,23.1,94.7,24.8,22.2
6/10/20 9:50,22.4,88.3,23.4,20.3
6/10/20 10:00,19.3,86,19.6,16.9
6/10/20 10:10,19.8,84.1,20.1,17
6/10/20 10:20,19.9,72.6,19.7,14.8
6/10/20 10:30,19.6,68.5,19.1,13.6
6/10/20 10:40,20,67.6,19.7,13.9
6/10/20 10:50,20.4,64.9,20.1,13.6
6/10/20 11:00,20,64.8,19.5,13.1
6/10/20 11:10,21.7,62.4,21.7,14.2
6/10/20 11:20,21.4,59.5,21.3,13.2
6/10/20 11:30,22.9,62.5,23,15.4
6/10/20 11:40,23.5,53.8,23.1,13.6
6/10/20 11:50,23.4,49.9,22.7,12.4
6/10/20 12:00,23.5,48.5,22.9,12
6/10/20 12:10,24.7,46.9,23.9,12.6
6/10/20 12:20,25.1,42.9,23.9,11.6
6/10/20 12:30,25.3,42.7,24.1,11.7
6/10/20 12:40,24.9,41.9,23.7,11.1
6/10/20 12:50,24.8,40.8,23.6,10.6
6/10/20 13:00,24.2,41.7,23,10.4
6/10/20 13:10,24.4,42.6,23.3,10.9
6/10/20 13:20,25.1,40.3,23.9,10.7
6/10/20 13:30,25.9,41.6,24.8,11.8
6/10/20 13:40,26.7,43.4,26,13.2
6/10/20 13:50,27.4,38.8,26.4,12.2
6/10/20 14:00,27.5,41.4,26.8,13.3
6/10/20 14:10,28.3,42,27.7,14.1
6/10/20 14:20,25.9,58,26.2,17
6/10/20 14:30,24.5,58.5,24.4,15.9
6/10/20 14:40,23.7,56.4,23.4,14.5
