Device Name,K3_2498468,,,
Device Model,Kestrel DROP 2,,,
Serial Number,2498468,,,
FORMATTED DATE-TIME,Temperature,Relative Humidity,Heat Stress Index,Dew Point
YYYY-MM-DD HH:MM:SS,°C,%,°C,°C
6/9/20 9:20,31.6,46.3,33.7,18.6
6/9/20 9:20,31.6,46.3,33.7,18.6
6/9/20 9:30,32.4,48.1,35.9,20
6/9/20 9:40,33.6,48,38.2,21
6/9/20 9:50,33.9,46.9,38.6,21
6/9/20 10:00,34.5,46,39.4,21.2
6/9/20 10:10,34.2,47.6,39.5,21.5
6/9/20 10:20,35,42.6,39.7,20.4
6/9/20 10:30,33.3,45.5,37,19.9
6/9/20 10:40,34,45.7,38.5,20.6
6/9/20 10:50,34.6,45.6,39.5,21.1
6/9/20 11:00,34.4,44.6,38.9,20.6
6/9/20 11:10,35.7,43.5,41.4,21.4
6/9/20 11:20,36.2,41.8,41.7,21.1
6/9/20 11:30,34.4,41.2,38,19.4
6/9/20 11:40,34.7,42.3,38.7,20
6/9/20 11:50,33,39.9,34.9,17.5
6/9/20 12:00,33.4,39.5,35.5,17.8
6/9/20 12:10,32.7,37,33.9,16.1
6/9/20 12:20,33.7,36.3,35.2,16.7
6/9/20 12:30,33.2,36.5,34.5,16.3
6/9/20 12:40,32.9,35.9,33.8,15.8
6/9/20 12:50,31.6,38,32,15.5
6/9/20 13:00,32.7,36.5,33.8,15.9
6/9/20 13:10,30.8,35.8,30.5,13.9
6/9/20 13:20,31.8,35.9,32.2,14.9
6/9/20 13:30,31.8,33.1,31.6,13.6
6/9/20 13:40,31.4,31.6,30.7,12.6
6/9/20 13:50,31.8,30.4,30.9,12.3
