Device Name,K7_2503417,,,
Device Model,Kestrel DROP 2,,,
Serial Number,2503417,,,
FORMATTED DATE-TIME,Temperature,Relative Humidity,Heat Stress Index,Dew Point
YYYY-MM-DD HH:MM:SS,°C,%,°C,°C
6/24/20 9:10,18,70.5,17.3,12.6
6/24/20 9:20,17.8,74.9,17.3,13.3
6/24/20 9:30,17.9,78.1,17.6,14.1
6/24/20 9:40,18,81.6,17.8,14.8
6/24/20 9:50,18.2,84.7,18.2,15.6
6/24/20 10:00,18.8,87.3,19.1,16.7
6/24/20 10:10,19.2,88.2,19.5,17.2
6/24/20 10:20,18.6,87.1,18.8,16.5
6/24/20 10:30,18.4,87.4,18.6,16.3
6/24/20 10:40,18.6,87.9,18.7,16.5
6/24/20 10:50,19.1,88.9,19.4,17.2
6/24/20 11:00,19.8,90.2,20.4,18.2
6/24/20 11:10,19.7,89.2,20.2,17.9
6/24/20 11:20,20.4,89.2,21,18.6
6/24/20 11:30,20.8,88.6,21.5,18.9
6/24/20 11:40,22.2,90,23.2,20.4
6/24/20 11:50,22,86.9,22.9,19.7
6/24/20 12:00,21.5,83,22.3,18.5
6/24/20 12:10,21.4,82.1,21.9,18.2
6/24/20 12:20,22.2,84.2,23,19.4
6/24/20 12:30,21.8,80.6,22.5,18.3
6/24/20 12:40,21.2,78.5,21.7,17.4
6/24/20 12:50,21.6,78.9,22.3,17.8
6/24/20 13:00,21.1,76,21.5,16.7
6/24/20 13:10,22.1,79.6,22.7,18.4
